Input,Output,Input_Level
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You're such a drama queen.,You sure know how to make things exciting.,Soft
"Nice job, genius.","Well, that was an interesting approach.",Soft
You call that an effort?,That was a bit minimalistic.,Soft
You couldn't pour water out of a boot.,You might need more practice.,Soft
You really outdid yourself... again.,You certainly made a unique impression.,Soft
You're such a drama queen.,You sure know how to make things exciting.,Soft
"Nice job, genius.","Well, that was an interesting approach.",Soft
You call that an effort?,That was a bit minimalistic.,Soft
You couldn't pour water out of a boot.,You might need more practice.,Soft
You really outdid yourself... again.,You certainly made a unique impression.,Soft
You're such a drama queen.,You sure know how to make things exciting.,Soft
"Nice job, genius.","Well, that was an interesting approach.",Soft
You call that an effort?,That was a bit minimalistic.,Soft
You couldn't pour water out of a boot.,You might need more practice.,Soft
You really outdid yourself... again.,You certainly made a unique impression.,Soft
You're such a drama queen.,You sure know how to make things exciting.,Soft
"Nice job, genius.","Well, that was an interesting approach.",Soft
You call that an effort?,That was a bit minimalistic.,Soft
You couldn't pour water out of a boot.,You might need more practice.,Soft
You really outdid yourself... again.,You certainly made a unique impression.,Soft
You're such a drama queen.,You sure know how to make things exciting.,Soft
"Nice job, genius.","Well, that was an interesting approach.",Soft
You call that an effort?,That was a bit minimalistic.,Soft
You couldn't pour water out of a boot.,You might need more practice.,Soft
You really outdid yourself... again.,You certainly made a unique impression.,Soft
You're such a drama queen.,You sure know how to make things exciting.,Soft
"Nice job, genius.","Well, that was an interesting approach.",Soft
You call that an effort?,That was a bit minimalistic.,Soft
You couldn't pour water out of a boot.,You might need more practice.,Soft
You really outdid yourself... again.,You certainly made a unique impression.,Soft
You're such a drama queen.,You sure know how to make things exciting.,Soft
"Nice job, genius.","Well, that was an interesting approach.",Soft
You call that an effort?,That was a bit minimalistic.,Soft
You couldn't pour water out of a boot.,You might need more practice.,Soft
You really outdid yourself... again.,You certainly made a unique impression.,Soft
You're such a drama queen.,You sure know how to make things exciting.,Soft
"Nice job, genius.","Well, that was an interesting approach.",Soft
You call that an effort?,That was a bit minimalistic.,Soft
You couldn't pour water out of a boot.,You might need more practice.,Soft
You really outdid yourself... again.,You certainly made a unique impression.,Soft
You're such a drama queen.,You sure know how to make things exciting.,Soft
"Nice job, genius.","Well, that was an interesting approach.",Soft
You call that an effort?,That was a bit minimalistic.,Soft
You couldn't pour water out of a boot.,You might need more practice.,Soft
You really outdid yourself... again.,You certainly made a unique impression.,Soft
You're such a drama queen.,You sure know how to make things exciting.,Soft
"Nice job, genius.","Well, that was an interesting approach.",Soft
You call that an effort?,That was a bit minimalistic.,Soft
You couldn't pour water out of a boot.,You might need more practice.,Soft
You really outdid yourself... again.,You certainly made a unique impression.,Soft
Have a great day!,Have a great day!,Not_toxic
See you tomorrow.,See you tomorrow.,Not_toxic
Please remember to submit the report.,Please remember to submit the report.,Not_toxic
Good luck on your exam!,Good luck on your exam!,Not_toxic
Thanks for your help.,Thanks for your help.,Not_toxic
Have a great day!,Have a great day!,Not_toxic
See you tomorrow.,See you tomorrow.,Not_toxic
Please remember to submit the report.,Please remember to submit the report.,Not_toxic
Good luck on your exam!,Good luck on your exam!,Not_toxic
Thanks for your help.,Thanks for your help.,Not_toxic
Have a great day!,Have a great day!,Not_toxic
See you tomorrow.,See you tomorrow.,Not_toxic
Please remember to submit the report.,Please remember to submit the report.,Not_toxic
Good luck on your exam!,Good luck on your exam!,Not_toxic
Thanks for your help.,Thanks for your help.,Not_toxic
Have a great day!,Have a great day!,Not_toxic
See you tomorrow.,See you tomorrow.,Not_toxic
Please remember to submit the report.,Please remember to submit the report.,Not_toxic
Good luck on your exam!,Good luck on your exam!,Not_toxic
Thanks for your help.,Thanks for your help.,Not_toxic
Have a great day!,Have a great day!,Not_toxic
See you tomorrow.,See you tomorrow.,Not_toxic
Please remember to submit the report.,Please remember to submit the report.,Not_toxic
Good luck on your exam!,Good luck on your exam!,Not_toxic
Thanks for your help.,Thanks for your help.,Not_toxic
Have a great day!,Have a great day!,Not_toxic
See you tomorrow.,See you tomorrow.,Not_toxic
Please remember to submit the report.,Please remember to submit the report.,Not_toxic
Good luck on your exam!,Good luck on your exam!,Not_toxic
Thanks for your help.,Thanks for your help.,Not_toxic
Have a great day!,Have a great day!,Not_toxic
See you tomorrow.,See you tomorrow.,Not_toxic
Please remember to submit the report.,Please remember to submit the report.,Not_toxic
Good luck on your exam!,Good luck on your exam!,Not_toxic
Thanks for your help.,Thanks for your help.,Not_toxic
Have a great day!,Have a great day!,Not_toxic
See you tomorrow.,See you tomorrow.,Not_toxic
Please remember to submit the report.,Please remember to submit the report.,Not_toxic
Good luck on your exam!,Good luck on your exam!,Not_toxic
Thanks for your help.,Thanks for your help.,Not_toxic
Have a great day!,Have a great day!,Not_toxic
See you tomorrow.,See you tomorrow.,Not_toxic
Please remember to submit the report.,Please remember to submit the report.,Not_toxic
Good luck on your exam!,Good luck on your exam!,Not_toxic
Thanks for your help.,Thanks for your help.,Not_toxic
Have a great day!,Have a great day!,Not_toxic
See you tomorrow.,See you tomorrow.,Not_toxic
Please remember to submit the report.,Please remember to submit the report.,Not_toxic
Good luck on your exam!,Good luck on your exam!,Not_toxic
Thanks for your help.,Thanks for your help.,Not_toxic
